#bin	chrom	chromStart	chromEnd
268	chr1	204562923	205083974
270	chr1	207232450	207452630
275	chr1	211835808	212159844
290	chr1	227628314	227901509
293	chr1	231021363	231468098
308	chr1	247107582	247237892
1021	chr1	57180799	57277996
1	chr2	15777475	17785239
1	chr2	41036444	42063878
1	chr2	48958948	50733316
1	chr2	58470234	60929375
2	chr2	83353653	84652885
2	chr2	114745107	118697245
2	chr2	122534828	126127849
3	chr2	142395411	143562145
3	chr2	176049869	176935951
3	chr2	184037995	185415153
4	chr2	208631343	212831298
9	chr2	1850405	3365337
10	chr2	13191119	15683296
11	chr2	20882114	21989345
11	chr2	22076698	23600132
13	chr2	33833203	36551637
14	chr2	44633351	45158352
14	chr2	48136994	48526901
15	chr2	56983876	58249436
16	chr2	65843095	66640630
18	chr2	75937801	80210697
18	chr2	80345342	83256605
21	chr2	102886434	105913871
21	chr2	107642109	108818904
23	chr2	118774377	119947770
24	chr2	126231570	127390487
24	chr2	129405549	131066838
25	chr2	135235132	135802670
25	chr2	136756030	141568145
26	chr2	147430196	148721306
27	chr2	153617498	157248062
27	chr2	158190350	158613595
28	chr2	162288746	162826185
28	chr2	163186334	165549683
29	chr2	168066330	168835563
29	chr2	169547969	170315726
29	chr2	170786636	171780826
30	chr2	177026937	178020496
31	chr2	187563168	188291703
32	chr2	193181928	194361660
32	chr2	194437174	196169415
33	chr2	204690162	206223394
33	chr2	207145780	207845061
34	chr2	215696299	216132880
35	chr2	221162760	221306790
35	chr2	221467879	223545662
36	chr2	228435626	228664007
36	chr2	228767220	230637585
37	chr2	236681408	237965259
80	chr2	8025583	8220266
90	chr2	17861250	18515275
91	chr2	19579221	19688234
101	chr2	30069443	30310665
102	chr2	30748649	30859587
102	chr2	30947287	31453805
103	chr2	31708477	32061991
126	chr2	56254992	56407437
133	chr2	63306985	63881206
141	chr2	71402673	71542208
143	chr2	73515822	73955062
144	chr2	75299751	75411070
145	chr2	75525925	75684285
153	chr2	84765861	84863418
155	chr2	86460656	86663869
157	chr2	88379556	88870342
164	chr2	95767294	95936852
167	chr2	98632456	99058631
174	chr2	106157277	106342994
187	chr2	120022456	120411509
198	chr2	131168391	131783878
202	chr2	135932396	136285512
210	chr2	143655873	144153613
215	chr2	149270583	149396755
218	chr2	152339054	152951887
224	chr2	158764152	159305897
225	chr2	159399192	159691549
234	chr2	169105339	169308252
239	chr2	174298512	174739228
243	chr2	178354962	179038706
243	chr2	179168324	179257884
244	chr2	179352048	179659412
244	chr2	179785747	180039734
260	chr2	196804488	196920328
264	chr2	200345829	200772252
269	chr2	206304043	206511134
270	chr2	206681222	206894015
276	chr2	213607445	213705906
277	chr2	214181842	214852641
283	chr2	220515608	220846950
286	chr2	223980297	224370637
288	chr2	225460470	225629759
290	chr2	227862206	228213909
293	chr2	230796135	231476214
302	chr2	240332887	241071568
1076	chr2	64386266	64478322
1356	chr2	101065999	101173576
2376	chr2	234777701	234873256
0	chr3	66890170	67428824
1	chr3	5267250	8473161
1	chr3	24043078	25623156
1	chr3	41316739	41988242
1	chr3	58654903	58847515
2	chr3	81820214	83914556
2	chr3	108358451	109613227
3	chr3	175466745	176615211
3	chr3	192674051	194003028
10	chr3	14607802	14947161
11	chr3	18183185	19920191
11	chr3	22031698	23190974
12	chr3	25710888	27164623
12	chr3	31214728	31570313
13	chr3	34095491	36672845
13	chr3	37389741	37890066
13	chr3	38308478	39138555
13	chr3	39243730	40078655
13	chr3	40574147	41230032
14	chr3	42853657	43183356
15	chr3	53943445	54875570
15	chr3	55569160	56607769
16	chr3	59815343	61529437
16	chr3	62614655	63800436
16	chr3	64494024	65373911
17	chr3	67903069	69029622
17	chr3	69183777	69718924
17	chr3	70002464	70765651
17	chr3	73153013	73474959
18	chr3	78347375	78689217
18	chr3	79442070	81471606
19	chr3	84249215	86829432
22	chr3	111062228	111241568
22	chr3	111835867	112261794
22	chr3	113009223	113382410
22	chr3	116196494	116475207
23	chr3	117802432	118892713
23	chr3	120541257	121401136
23	chr3	123708638	124407608
24	chr3	129872196	130608957
24	chr3	130758149	132123976
25	chr3	134434854	135608565
25	chr3	136757012	137759159
25	chr3	139112202	140937705
26	chr3	143783511	145766075
26	chr3	146553864	146821056
27	chr3	155047075	155533148
27	chr3	157267520	158360484
28	chr3	161016064	161556927
29	chr3	170635334	171338080
29	chr3	172519234	173638256
30	chr3	178114855	178725852
30	chr3	180172591	180618622
30	chr3	180708583	182425040
31	chr3	186551532	186880048
31	chr3	188700070	188962416
31	chr3	191135560	192532956
77	chr3	4538773	5017502
77	chr3	5075481	5163540
81	chr3	9033381	9343048
84	chr3	11891749	12164850
86	chr3	13703242	14153713
90	chr3	17896467	18094348
93	chr3	21542044	21681864
100	chr3	28395295	28942037
108	chr3	36759378	36943266
111	chr3	40188758	40478123
113	chr3	42309028	42564785
121	chr3	50717501	51367942
122	chr3	51755973	51948405
127	chr3	56720712	57000528
129	chr3	59578187	59733808
132	chr3	62192190	62533591
141	chr3	71758398	72304221
143	chr3	73919030	74419041
153	chr3	84008770	84123847
156	chr3	87058058	87247729
172	chr3	104694617	104813575
175	chr3	106996470	107097280
180	chr3	112557778	112686693
180	chr3	112816997	112919375
199	chr3	132450550	133117409
200	chr3	133341398	133863010
201	chr3	134239983	134355371
205	chr3	138673715	138999035
213	chr3	147158562	147588740
216	chr3	150506256	150871246
217	chr3	151156114	151546565
218	chr3	152204100	152739744
221	chr3	155633821	156187375
224	chr3	158526609	159315569
225	chr3	159908664	160049971
233	chr3	167823273	168730895
234	chr3	168870956	169817247
244	chr3	179441870	179965704
249	chr3	184568422	185254280
250	chr3	185840020	186455054
251	chr3	187020181	187425563
254	chr3	190444107	190766112
258	chr3	194416156	194753013
658	chr3	9569740	9696457
1037	chr3	59255201	59372552
1452	chr3	113641829	113768544
1496	chr3	119428311	119524760
1950	chr3	178916576	179032720
0	chr4	133119998	134689647
1	chr4	24936567	25306393
1	chr4	30793724	33696828
1	chr4	41291448	43238892
1	chr4	57985634	61428699
2	chr4	90704200	93081780
2	chr4	100336704	100802877
2	chr4	108941477	109509982
2	chr4	115317361	119198170
3	chr4	167427875	168967183
3	chr4	174457292	176162730
9	chr4	4887525	5656279
10	chr4	10165014	10583343
10	chr4	10787938	11688401
10	chr4	11770629	13465617
11	chr4	18032772	19214751
11	chr4	20550890	21770386
11	chr4	21904430	22347752
11	chr4	22519072	24041594
12	chr4	27025209	28210054
12	chr4	29777546	30707741
13	chr4	34269463	37626693
14	chr4	43511105	46920555
14	chr4	47939181	48264702
15	chr4	55190762	56209728
15	chr4	56421411	57252193
16	chr4	61647952	66211986
17	chr4	67576271	68538372
17	chr4	70018369	70567215
17	chr4	70675723	71463378
17	chr4	72488223	73923217
18	chr4	78120602	79436417
18	chr4	79847105	80798232
18	chr4	81401275	81951413
18	chr4	82289790	83262763
19	chr4	84569210	85577290
19	chr4	85898917	86658479
19	chr4	90061210	90616773
20	chr4	93214061	95126442
20	chr4	96077487	99165394
21	chr4	101290780	101885894
21	chr4	102322206	103351159
21	chr4	104076218	106059548
21	chr4	106202649	107198521
21	chr4	107550070	108101420
22	chr4	109615812	110347601
22	chr4	111128431	111528934
22	chr4	113231598	114273133
23	chr4	121006692	122580209
24	chr4	129809966	132934727
26	chr4	144463528	145486906
26	chr4	145658683	145958506
26	chr4	146880142	148004762
27	chr4	154716259	156290833
27	chr4	158076101	158895789
28	chr4	160381714	164403928
29	chr4	170586040	173675067
30	chr4	178508748	180505508
30	chr4	180617739	182448978
31	chr4	190130800	190932893
78	chr4	5846789	6224776
88	chr4	16308927	16433674
89	chr4	17650707	17774776
96	chr4	24134571	24465288
97	chr4	25451495	25754172
109	chr4	38201433	38654708
111	chr4	40351113	40833450
118	chr4	47618159	47834980
123	chr4	52771251	53422651
138	chr4	68635402	69166053
143	chr4	74132341	74440064
145	chr4	75612691	76400093
146	chr4	77158660	77409178
152	chr4	83384371	83684085
157	chr4	88168219	88293068
157	chr4	88393777	88914072
158	chr4	89146683	89433210
169	chr4	100902205	101202158
176	chr4	108313684	108557807
178	chr4	110486124	110963303
179	chr4	111602986	111700755
180	chr4	112564854	112975117
190	chr4	122752820	123480947
210	chr4	143806311	144102637
219	chr4	153465275	154021518
234	chr4	169132022	169309776
241	chr4	176397894	177050988
249	chr4	184608944	185221827
249	chr4	185400922	185562311
251	chr4	186836628	187488475
807	chr4	29103903	29193770
1172	chr4	76941048	77064919
0	chr5	66615960	67264707
1	chr5	7930320	8692478
1	chr5	24819787	27111364
1	chr5	41875648	42887267
2	chr5	75012291	75875637
2	chr5	83752528	86351525
2	chr5	115421342	118302400
3	chr5	150646197	151029049
9	chr5	1662774	5410587
9	chr5	5503281	6555095
9	chr5	6783094	7849558
10	chr5	10903715	13528972
11	chr5	17912706	19766485
11	chr5	20071589	22528879
11	chr5	22613530	24131497
13	chr5	35199779	35739282
13	chr5	40888322	41757578
16	chr5	61782369	64054900
16	chr5	65484650	66253543
17	chr5	67601242	68336098
17	chr5	70907521	71389359
17	chr5	74075669	74624775
18	chr5	76443811	76983243
18	chr5	81721629	82324947
19	chr5	86711745	88521938
19	chr5	88889090	89750912
19	chr5	89840525	90389054
19	chr5	90691980	91835345
20	chr5	93153047	94806745
22	chr5	112955306	113506302
22	chr5	113677024	114554627
23	chr5	120161273	121284374
23	chr5	121530008	122064636
23	chr5	122252469	123710765
24	chr5	126399075	127081594
24	chr5	128014517	130467698
24	chr5	132451308	133256965
25	chr5	134836193	135275795
25	chr5	135548217	136350571
25	chr5	140111883	140693895
26	chr5	143586966	145201926
26	chr5	145676112	146767721
26	chr5	147834957	148106294
27	chr5	151203834	152867730
27	chr5	153019293	153562899
27	chr5	154328073	155748968
28	chr5	159939941	162860102
28	chr5	163953310	167049531
29	chr5	168014648	169000904
29	chr5	169415213	170798442
29	chr5	173401586	175768699
30	chr5	177042575	178549689
30	chr5	180295805	180526356
86	chr5	13831302	13930274
88	chr5	16014249	16418988
103	chr5	31589495	31962614
107	chr5	35930326	36137589
107	chr5	36254349	36355164
109	chr5	37917384	38373196
126	chr5	55704165	56095110
126	chr5	56257702	56456783
128	chr5	57781308	58287767
130	chr5	60002536	60228683
131	chr5	60852229	61598782
140	chr5	70382492	70752526
145	chr5	76168965	76310261
149	chr5	80345796	80434597
152	chr5	82888998	83207185
152	chr5	83343629	83533328
171	chr5	102839939	103160985
173	chr5	105500160	105595880
175	chr5	107721841	107969598
176	chr5	108505536	108648121
176	chr5	108822325	109021799
177	chr5	109221230	110060837
179	chr5	111512308	112022145
180	chr5	112405914	112822878
182	chr5	114977865	115141362
186	chr5	118770601	119389713
192	chr5	125060074	125674124
193	chr5	125885583	126107191
198	chr5	131148804	131308314
203	chr5	137110902	137255934
213	chr5	146958513	147746834
216	chr5	150189763	150378609
219	chr5	153869089	153986776
223	chr5	157623534	157800086
223	chr5	157924078	158118442
244	chr5	179347734	179710428
244	chr5	180077530	180204027
1905	chr5	173050835	173138208
0	chr6	65291937	68310828
1	chr6	48809124	52217930
2	chr6	90086033	97631340
2	chr6	117025584	117758313
2	chr6	125630401	126074114
3	chr6	150364319	151127253
9	chr6	7284089	8040175
10	chr6	10466469	10685093
10	chr6	15671406	16114872
11	chr6	18518883	19717709
11	chr6	19855363	20376818
11	chr6	23459791	24645972
12	chr6	27189528	27432117
12	chr6	28964108	29572819
12	chr6	32185882	32786420
13	chr6	38678870	39759117
14	chr6	44481410	45288384
14	chr6	45717629	47069342
14	chr6	47161865	48531258
17	chr6	70645280	71886517
17	chr6	72261600	72878638
18	chr6	76605687	78088639
18	chr6	78188801	79647226
18	chr6	80320574	80802162
19	chr6	84095206	85261035
19	chr6	85372183	86053032
19	chr6	86399891	87771680
19	chr6	87992197	88179755
19	chr6	88512055	89478319
20	chr6	97742336	99777339
23	chr6	117928173	118598767
23	chr6	119969503	121745622
23	chr6	122385264	122712022
23	chr6	122799633	125189074
24	chr6	126393939	127583838
25	chr6	137127227	137532227
25	chr6	138269251	138715873
26	chr6	145396948	147170710
26	chr6	147654047	148460526
27	chr6	151810415	152585503
27	chr6	152668055	153274447
27	chr6	153497596	154588351
27	chr6	155894709	157005620
28	chr6	161869703	163726849
28	chr6	164013772	166109119
28	chr6	166524301	166865412
79	chr6	6758165	7096710
82	chr6	9546943	10369171
83	chr6	10848031	10947078
85	chr6	12609481	13295074
93	chr6	21080628	21579731
97	chr6	25253752	25985435
98	chr6	26615863	27086969
99	chr6	27519088	27759288
99	chr6	27872918	28055408
111	chr6	39904976	40857600
123	chr6	52549788	52841541
123	chr6	52939715	53147043
125	chr6	54972430	55479181
126	chr6	55846809	56155848
149	chr6	79791657	80225877
152	chr6	83132205	83423354
158	chr6	89631251	89765514
158	chr6	89869407	89997150
168	chr6	100057866	100545737
173	chr6	105691193	105806949
175	chr6	107086644	107341010
177	chr6	109466076	109662932
177	chr6	109813237	109983809
178	chr6	110120352	110812746
186	chr6	119236014	119434386
198	chr6	131503417	131916000
203	chr6	136665500	136877675
204	chr6	137607561	138019649
225	chr6	159431981	160091065
225	chr6	160218490	160352657
226	chr6	160487614	161335150
0	chr7	66526963	68107493
1	chr7	8089871	12014111
1	chr7	25164457	26167494
1	chr7	48354123	50710866
2	chr7	123405735	127214732
9	chr7	2980950	4649136
9	chr7	7299969	7715066
10	chr7	13180020	13759462
11	chr7	19751191	20190331
11	chr7	20448597	22122399
11	chr7	23634653	24728265
12	chr7	28915466	29961725
12	chr7	30963508	31780333
12	chr7	32247496	32518497
13	chr7	34207446	35655579
13	chr7	38271774	39597737
15	chr7	51164321	54802969
15	chr7	56196876	57373004
16	chr7	64730118	65153271
18	chr7	76288341	76586155
18	chr7	82443651	83548570
19	chr7	84876099	85088211
19	chr7	85243205	86771382
19	chr7	86858366	89776288
19	chr7	90918723	91497671
20	chr7	92704443	93508301
20	chr7	94333057	97791830
21	chr7	103408251	104535344
22	chr7	110059998	110155132
22	chr7	112930555	113337686
23	chr7	117522250	119584129
23	chr7	121041335	123311513
25	chr7	135702931	136533565
25	chr7	137728502	138542539
25	chr7	140402999	140538861
26	chr7	143603121	148341216
26	chr7	149582765	150030829
27	chr7	152172249	154954755
27	chr7	155615250	156733093
79	chr7	6834950	7138059
80	chr7	7846448	7985065
88	chr7	16125925	16596431
98	chr7	26256991	26706843
98	chr7	26768459	27067406
99	chr7	27294333	27452392
101	chr7	30080179	30317361
104	chr7	33303414	33455826
113	chr7	42318200	42895241
114	chr7	43016309	43570573
116	chr7	45226062	45723468
126	chr7	55845684	56016913
162	chr7	94090075	94242332
166	chr7	98076690	98381092
167	chr7	99245720	99438882
171	chr7	103027903	103208933
174	chr7	106501959	106773087
175	chr7	107404006	107511530
184	chr7	117027844	117389975
187	chr7	119722752	120578336
198	chr7	131348244	131749164
199	chr7	132265704	132400952
199	chr7	132478822	132687040
199	chr7	132764826	132958998
201	chr7	134687193	134820150
202	chr7	135487510	135606303
215	chr7	148990217	149405903
216	chr7	150150092	150638425
217	chr7	151492844	151789502
222	chr7	156824043	156928519
224	chr7	158676151	159125532
1629	chr7	136855461	136960835
0	chr8	67094835	67314199
1	chr8	33459613	36701450
1	chr8	49890473	50927103
1	chr8	57919601	59457055
2	chr8	74962643	76572970
2	chr8	92104239	92994911
2	chr8	108808950	109186902
9	chr8	706699	1676641
9	chr8	1983718	6260450
10	chr8	11436305	11595769
10	chr8	13537883	15209508
11	chr8	19730167	19939863
11	chr8	20246787	21739378
11	chr8	24103714	24497914
12	chr8	27200613	27438216
12	chr8	28286089	28553230
12	chr8	30674096	32063342
13	chr8	38976013	40911633
15	chr8	51123286	52720363
15	chr8	53083265	53487562
15	chr8	53646537	54703383
15	chr8	55088162	56670305
16	chr8	60622750	61414123
16	chr8	61568581	62402320
16	chr8	62727812	64076406
16	chr8	64179600	66497760
17	chr8	68273166	69467020
17	chr8	71582353	72722344
17	chr8	73075143	74193051
18	chr8	79483541	80192941
18	chr8	80947291	81881336
18	chr8	82152617	82905950
19	chr8	87808130	89089978
19	chr8	91025754	91512967
20	chr8	93132599	94674866
20	chr8	96288775	97238868
21	chr8	104462904	105494800
22	chr8	109275962	110256154
22	chr8	110357429	111627959
22	chr8	111723527	116326305
24	chr8	126722181	127822870
24	chr8	129949212	130462751
24	chr8	131793620	132815850
24	chr8	133000442	133769647
25	chr8	135861678	136461199
25	chr8	136662649	140635390
81	chr8	9015191	9410508
82	chr8	9542497	10404300
90	chr8	18002539	18392747
95	chr8	23820169	24007101
98	chr8	26542089	27099108
99	chr8	27599893	28185432
103	chr8	32232767	32395703
112	chr8	41191466	41337063
127	chr8	57160903	57408431
130	chr8	60230096	60502580
136	chr8	66762703	66944719
140	chr8	70581307	71035754
149	chr8	80354722	80667718
156	chr8	87559591	87700671
158	chr8	89348415	89934929
160	chr8	91763086	91995305
164	chr8	95578509	95720570
169	chr8	101331132	101542272
185	chr8	117929449	118451858
187	chr8	120113757	120525050
188	chr8	120627945	120748316
195	chr8	128417278	128732045
1129	chr8	71324049	71433710
1581	chr8	130557120	130676790
1	chr9	7464496	12693688
1	chr9	22246731	26090246
2	chr9	75231772	75719958
2	chr9	108334542	109612764
9	chr9	818574	2765227
9	chr9	2860111	3435652
9	chr9	6019680	6323799
11	chr9	17524036	18227077
12	chr9	27283688	32358219
17	chr9	73247961	73510912
17	chr9	74398978	74501013
18	chr9	75802994	77612629
18	chr9	77766744	78981302
18	chr9	79522663	79756171
18	chr9	80661708	80845915
19	chr9	85690559	86230950
19	chr9	86995437	88881259
19	chr9	89962985	90275528
20	chr9	92776251	93654636
20	chr9	94329636	94851269
20	chr9	99443681	100385716
21	chr9	102208546	102760742
21	chr9	103368013	104211906
21	chr9	104307872	107501962
22	chr9	110552881	111188167
22	chr9	112099114	112500002
23	chr9	119475707	123097436
76	chr9	3531235	3730277
86	chr9	14443529	14621677
87	chr9	14717811	15191466
91	chr9	19472497	19916080
98	chr9	26332302	26868152
104	chr9	32585320	32967670
144	chr9	74594348	74892860
149	chr9	80126981	80251757
152	chr9	82837846	83410933
153	chr9	84492244	84739950
155	chr9	86324861	86530797
155	chr9	86620657	86751465
165	chr9	96963466	97374630
166	chr9	98283606	98512047
170	chr9	102023171	102114045
177	chr9	109731142	109972514
179	chr9	111330600	111702797
192	chr9	125238661	125548357
193	chr9	125912916	126021354
1190	chr9	79322897	79408799
1425	chr9	110114253	110226903
1	chrX	7301840	8698330
1	chrX	24296016	26586659
1	chrX	31679404	34603812
2	chrX	73842686	76633314
2	chrX	83778237	84235000
2	chrX	85311131	95620313
2	chrX	123260412	128566529
3	chrX	139018365	148549454
9	chrX	6169158	6922534
10	chrX	12472521	12942138
10	chrX	13535115	13653435
10	chrX	13783294	14849188
11	chrX	17620592	18363310
11	chrX	18460484	18874627
12	chrX	26692612	27556130
14	chrX	43901196	44378049
14	chrX	47536261	48308026
15	chrX	51653533	52902756
15	chrX	54597353	56738243
16	chrX	64976020	65812755
16	chrX	65925181	66754886
18	chrX	77427229	79919356
18	chrX	80602676	83360374
20	chrX	97199421	99868363
21	chrX	100940881	101904232
21	chrX	103621914	104495772
21	chrX	107366489	108863154
22	chrX	110098143	111852997
22	chrX	112115988	114218545
22	chrX	115456422	117031497
23	chrX	117984135	118503847
23	chrX	119087363	119549873
23	chrX	119909581	121634087
23	chrX	121795999	122714706
24	chrX	130808198	133500125
25	chrX	136032577	138821238
27	chrX	154066672	154251301
79	chrX	7065687	7218108
84	chrX	11553760	11720714
87	chrX	15515185	15690420
89	chrX	16915651	17385319
91	chrX	19061169	19344208
102	chrX	30741650	31214980
108	chrX	37299439	37685345
109	chrX	38195936	38606679
110	chrX	38882669	39543792
111	chrX	40165911	40324450
124	chrX	54242839	54440662
139	chrX	69404003	69499871
139	chrX	69742215	70147121
149	chrX	80101972	80427728
171	chrX	103218554	103349381
174	chrX	106229373	106767473
177	chrX	109685797	109959272
182	chrX	115013809	115328419
201	chrX	134233767	135052662
202	chrX	135359450	135769770
733	chrX	19424634	19519807
1374	chrX	103451921	103546759
9	chrY	2880166	7112793
10	chrY	15603977	16627892
11	chrY	16966225	21013116
87	chrY	15047033	15333970
0	chr10	65530300	68502879
1	chr10	8111408	9227368
1	chr10	54389744	59705463
2	chr10	82306195	86013597
2	chr10	91559901	92608224
2	chr10	100229727	101412320
2	chr10	106117218	110104557
2	chr10	116665632	118428201
9	chr10	1203532	3060735
9	chr10	5138447	5450670
9	chr10	6885806	7784960
10	chr10	9349990	9643661
10	chr10	9872072	10807740
10	chr10	10959138	11558882
10	chr10	12299183	12687515
12	chr10	27151595	27352069
14	chr10	45510984	46159034
15	chr10	52414150	52731393
16	chr10	60727450	61078411
16	chr10	61686896	61991076
16	chr10	62756248	63022010
17	chr10	68614259	69523186
18	chr10	77182549	78037037
18	chr10	78386052	78749015
19	chr10	86310800	88097230
20	chr10	96231877	96958016
20	chr10	97123934	98270571
20	chr10	98353357	98570224
20	chr10	99553832	100003712
21	chr10	105891337	105991298
22	chr10	110703014	111608888
22	chr10	112846491	114203580
23	chr10	119149515	120435614
23	chr10	120524163	120761120
23	chr10	121709783	123643076
24	chr10	126856578	127504900
24	chr10	129251343	131662247
79	chr10	6468594	6750607
91	chr10	19034220	19348970
91	chr10	19608602	19908007
94	chr10	22045866	22205060
94	chr10	22302080	22861684
95	chr10	23136087	23598559
98	chr10	26790740	27011756
99	chr10	27553734	27768117
99	chr10	28091886	28304535
100	chr10	28633798	28775743
100	chr10	29026873	29119550
101	chr10	29452698	29540906
120	chr10	49881112	50310104
121	chr10	50390117	50691456
130	chr10	59807322	59904891
131	chr10	61190738	61583628
132	chr10	62255150	62517458
134	chr10	64402531	64841752
151	chr10	82035298	82195293
161	chr10	92756457	92917821
167	chr10	98826869	98965184
183	chr10	116096979	116374370
186	chr10	118559821	119059681
192	chr10	124944848	125747239
195	chr10	128201010	128581885
1427	chr10	110384203	110478346
1	chr11	24017629	26207196
1	chr11	40451144	43326270
1	chr11	58404325	58870989
2	chr11	83001529	84512942
2	chr11	89234938	92661802
2	chr11	108925908	109788652
2	chr11	125825809	125966555
9	chr11	4169581	5213736
9	chr11	6735619	7910602
10	chr11	10963704	11808462
10	chr11	13487409	14271380
10	chr11	14562817	15795140
11	chr11	18659611	19360758
11	chr11	20426455	22470707
12	chr11	32164462	32596182
13	chr11	36536810	37457585
13	chr11	37825340	40311239
15	chr11	55470019	56998977
15	chr11	57599583	57741586
16	chr11	59591016	60539663
16	chr11	62838108	63366670
18	chr11	79662747	82602599
19	chr11	84894919	85295188
20	chr11	92933215	93379810
20	chr11	94362236	94461387
20	chr11	94886657	95496830
20	chr11	96181856	99345337
20	chr11	99433975	100425782
21	chr11	103621744	104405370
21	chr11	105186581	106236347
22	chr11	110344710	111285856
22	chr11	112193738	113365670
22	chr11	114324786	115476337
22	chr11	115844782	116590468
23	chr11	120441004	121454859
23	chr11	123472884	124471445
24	chr11	130913620	131722872
24	chr11	132008362	132702512
24	chr11	132817123	133905012
78	chr11	5394255	5595538
80	chr11	8125093	8234112
89	chr11	16842591	17088427
89	chr11	17412275	17730851
90	chr11	17828597	18329562
91	chr11	19483338	19568086
92	chr11	20188899	20358756
98	chr11	26316347	26956089
98	chr11	27050362	27165946
103	chr11	31881455	32072307
115	chr11	44357053	44540752
116	chr11	45235429	45784269
128	chr11	57845694	58043885
129	chr11	58980852	59300149
148	chr11	79212619	79568096
153	chr11	84637354	84749024
156	chr11	87201599	88022966
157	chr11	88373204	89055114
162	chr11	93686169	93840067
162	chr11	93945008	94222188
169	chr11	100814844	101710175
175	chr11	107752534	107875006
181	chr11	113572348	114150500
183	chr11	115640557	115742844
187	chr11	119639731	119973435
189	chr11	122159161	122361839
192	chr11	125281812	125425595
192	chr11	125513014	125730296
194	chr11	126890234	127867600
196	chr11	129159214	129691734
795	chr11	27554677	27650085
0	chr12	66575226	67660203
1	chr12	8248618	10281882
1	chr12	32913394	34435916
2	chr12	73070606	75704563
9	chr12	3436475	5178065
9	chr12	7323371	7936108
10	chr12	10391879	10737367
10	chr12	11344534	11694634
10	chr12	13418593	14513207
10	chr12	14624265	14915554
11	chr12	16831737	18404711
11	chr12	19738941	20611071
11	chr12	20711976	22401511
11	chr12	22867778	24177474
12	chr12	29954221	30826920
14	chr12	43755365	44119030
14	chr12	44282209	45560208
15	chr12	54444447	54568712
15	chr12	54850155	56029489
16	chr12	63340758	64190367
17	chr12	70059835	70630505
17	chr12	70743823	71982224
18	chr12	80687236	80793096
19	chr12	85476875	86512789
20	chr12	96926813	98810281
20	chr12	99153150	100443725
21	chr12	102342089	104169301
21	chr12	105822740	106418026
21	chr12	106782695	108905988
22	chr12	112922253	113566190
23	chr12	118854316	120515407
24	chr12	128170229	129265777
24	chr12	129353217	131255679
78	chr12	5423784	5522827
78	chr12	5635109	6136404
83	chr12	10920983	11246233
87	chr12	15000619	15677315
88	chr12	16156664	16470888
96	chr12	24284658	24509547
102	chr12	31008490	31443541
119	chr12	48605947	49028228
123	chr12	52798827	53203333
124	chr12	54179379	54340781
128	chr12	58344034	58688537
129	chr12	59577898	59759970
130	chr12	59858151	59988194
134	chr12	64652553	64782826
135	chr12	65176004	65557775
138	chr12	68223362	68696761
139	chr12	69469869	69615771
160	chr12	91793394	92125309
179	chr12	111205132	111729765
