chrom chromStart chromEnd signalValue
chr1 6622486 6623649 2.47835
chr1 6623697 6625947 2.56206
chr1 6795115 6795341 5.27737
chr1 6811396 6818955 1.56468
chr1 6965014 7093280 1.78609
chr1 6991568 6991680 7.54302
chr1 6991692 6991792 8.44818
chr1 7093397 7241323 1.60045
chr1 7247880 7261882 1.65035
chr1 7266932 7272062 2.57679
chr1 7286283 7450017 1.80529
chr1 7395087 7395335 44.6856
chr1 7408178 7408309 6.82835
chr1 7513468 7533355 1.74922
chr1 7539415 7544539 2.638
chr1 7569660 7580433 1.61914
chr1 7585258 7602400 1.62926
chr1 7611092 7621399 1.61038
chr1 7631024 7641973 1.57496
chr1 7648482 7650567 2.52647
chr1 7652163 7653428 3.3392
chr1 7677837 7699043 2.21222
chr1 7703092 7705286 2.4689
chr1 7725945 7835087 1.79034
chr1 7781104 7781338 6.79592
chr1 7782329 7782430 8.36454
chr1 7869320 7883356 1.63927
chr1 7897668 7921746 1.44062
chr1 7923821 7964185 1.39
chr1 7974263 7974387 6.81305
chr1 7990060 8013149 1.78428
chr1 7998380 7998580 5.46647
chr1 7998480 7998583 8.20212
chr1 7999693 8003696 4.14644
chr1 8083579 8086564 3.72922
chr1 8086579 8089334 2.34496
chr1 8130324 8130902 3.26716
chr1 8139988 8141657 2.41181
chr1 8193593 8196086 2.45187
chr1 8253742 8286180 1.52741
chr1 8316234 8316896 3.0778
chr1 8317259 8317981 3.16617
chr1 8319210 8320445 2.53506
chr1 8370357 8383924 1.86078
chr1 8378688 8378964 7.92242
chr1 8379360 8379579 5.21913
chr1 8380969 8381192 5.34836
chr1 8410589 8410825 8.84406
chr1 8983914 8984117 5.38568
chr1 8984367 8986994 3.53749
chr1 8997606 9004576 1.59709
chr1 9012801 9051984 1.37101
chr1 9055755 9064809 1.58076
chr1 9089546 9089821 5.05987
chr1 9149896 9150415 3.35131
chr1 9151061 9152705 3.14373
chr1 9153079 9153999 3.02492
chr1 9257025 9265258 3.97175
chr1 9267269 9268285 2.59237
chr1 9284992 9286381 2.82644
chr1 9285857 9286402 3.28262
chr1 9318421 9319042 3.20098
chr1 9318446 9320357 2.34043
chr1 9337587 9374057 1.6556
chr1 9353782 9354176 6.93715
chr1 9356571 9356676 8.51917
chr1 9402241 9411465 1.54624
chr1 9422634 9423634 2.58415
chr1 9429589 9430896 2.43343
chr1 9434733 9435947 2.49704
chr1 9440713 9441337 3.26523
chr1 9447038 9457910 1.69582
chr1 9471208 9471341 7.47296
chr1 9473271 9553170 1.54125
chr1 9560259 9561875 2.49091
chr1 10056459 10057192 5.15257
chr1 10260203 10261862 2.63603
chr1 10716201 11077096 1.45315
chr1 10776267 10776398 7.58705
chr1 10776858 10777007 7.00402
chr1 10831991 10832113 7.73941
chr1 10838023 10838236 5.13284
chr1 10964533 10964635 8.28253
chr1 10964871 10964993 7.33208
chr1 10968513 10968627 7.84661
chr1 10999055 10999336 7.07405
chr1 10999341 10999466 7.55367
chr1 11003469 11003608 7.15039
chr1 11004044 11005025 5.11643
chr1 11365949 11425358 1.62781
chr1 11389028 11389150 6.92474
chr1 11398533 11398693 7.45428
chr1 11398755 11398932 6.73833
chr1 11400423 11400761 6.91028
chr1 11410082 11410232 7.61993
chr1 11416028 11416228 5.46647
chr1 11430940 11466161 1.53653
chr1 11450444 11450664 6.55073
chr1 11451290 11451495 5.33314
chr1 11466270 11565631 1.81954
chr1 11594986 11719715 1.67976
chr1 11738199 11775549 1.9133
chr1 11784081 11785095 2.54847
chr1 11908743 11967481 1.64303
chr1 12274328 12276724 2.61335
chr1 12488043 12522951 1.57878
chr1 12587286 12607988 1.4427
chr1 12644047 12694473 2.04887
chr1 12672426 12672529 8.20212
chr1 12685530 12685674 6.90211
chr1 12708620 12724246 1.66329
chr1 12733805 12742166 1.61074
chr1 12742702 12762608 1.62272
chr1 12765388 12781597 1.52988
chr1 12786356 12787308 3.18425
chr1 12792633 12846498 1.64682
chr1 12795647 12795871 6.2119
chr1 12818035 12818238 5.38568
chr1 12827803 12828006 5.38568
chr1 12865189 12873235 1.51321
chr1 13178233 13179456 3.29134
chr1 13187781 13187935 6.45392
chr1 13780966 13853685 1.68591
chr1 13835714 13835817 8.20212
chr1 13844297 13844447 7.61993
chr1 13863298 13863509 5.18149
chr1 13863304 13864333 2.60791
chr1 13882197 13891805 1.54651
chr1 13894063 13894333 4.60141
chr1 13896656 13929721 1.8321
chr1 13937987 13950333 1.63423
chr1 13973187 13983668 1.40821
chr1 13974941 13983714 1.49544
chr1 14150096 14166808 1.36787
chr1 14168152 14174503 1.51801
chr1 14198436 14199439 2.57642
chr1 14207100 14237989 2.07861
chr1 14247097 14258495 1.64808
chr1 14267730 14302561 1.60795
chr1 14335338 14352034 1.71742
chr1 14381065 14382616 2.49918
chr1 14400559 14412377 1.37084
chr1 14412928 14477180 1.52677
chr1 14502573 14517000 1.69474
chr1 14524209 14530948 1.57072
chr1 14565535 14580264 1.59926
chr1 14590258 14591450 2.54313
chr1 14591787 14592882 2.45072
chr1 14607915 14613835 1.56976
chr1 14617181 14638156 1.43577
chr1 14669672 14670699 2.5646
chr1 14693230 14702623 1.53429
chr1 14733951 14738994 1.58654
chr1 14768414 14769832 2.41817
chr1 14793037 14839092 1.3898
chr1 14868048 14892367 1.48969
chr1 14881639 14881745 7.96998
chr1 14882299 14882585 4.6915
chr1 14900523 14969965 1.70679
chr1 14972660 15048383 1.55734
chr1 15063392 15064265 3.18778
chr1 15065632 15069435 2.6004
chr1 15069937 15070959 2.52852
chr1 15079418 15098142 1.71985
chr1 15101639 15119148 1.67742
chr1 15119551 15127292 1.48938
chr1 15130580 15163512 1.4049
chr1 15179268 15182331 2.4012
chr1 15186065 15186752 3.03813
chr1 15186159 15187253 2.54381
chr1 15187960 15190765 2.46261
chr1 15195531 15229173 1.67364
chr1 15202854 15203055 5.43927
chr1 15204076 15204288 6.09469
chr1 15237331 15283221 1.68827
chr1 15247131 15247336 5.33314
chr1 15249595 15249704 8.66246
chr1 15249834 15250068 7.0083
chr1 15251194 15254382 4.67646
chr1 15325802 15342626 1.36762
chr1 15346202 15356318 1.39025
chr1 15392971 15488884 1.65542
chr1 15601677 15617034 1.67301
chr1 15629156 15670545 1.55729
chr1 15689177 15702485 1.58705
chr1 15702568 15712835 1.57793
chr1 15715138 15715734 3.25187
chr1 15721264 15721377 8.35583
chr1 15731804 15732848 2.61804
chr1 15732935 15736466 2.89924
chr1 15767494 15776692 1.56142
chr1 15922438 15922659 5.39676
chr1 16081383 16086643 2.96659
chr1 16086947 16087892 3.10266
chr1 16096830 16097358 3.38831
chr1 16098052 16099090 2.53742
chr1 16129113 16129488 4.37318
chr1 16309437 16310440 2.57642
chr1 16322990 16323508 3.45372
chr1 16324111 16324936 3.1323
chr1 16346550 16347387 3.44363
chr1 16347945 16349429 2.51155
chr1 16368115 16368336 5.39676
chr1 16385849 16406024 1.99027
chr1 16413068 16427341 1.6608
chr1 16438030 16439223 3.33245
chr1 16445282 16457345 1.52839
chr1 16464939 16507184 1.53515
chr1 16514631 16514735 8.12325
chr1 16515059 16516026 3.28903
chr1 16538341 16543462 1.6109
chr1 16542841 16543478 3.12058
chr1 16552385 16555729 2.6304
chr1 16831629 16834434 3.2953
chr1 16835667 16835931 9.60021
chr1 16838010 16838282 5.84649
chr1 16839554 16839693 7.50791
chr1 16842109 16842221 7.98673
chr1 16842562 16842819 9.28159
chr1 16845269 16848071 2.3411
chr1 16848745 16850729 2.42965
chr1 16857131 16857254 6.86844
chr1 16857636 16859171 3.65834
chr1 16859318 16859536 5.69899
chr1 16860506 16861220 4.73287
chr1 16861463 16861876 7.21964
chr1 16861746 16861899 6.82091
chr1 16862016 16862263 7.04183
chr1 16862408 16862665 9.47496
chr1 16863261 16863547 7.64541
chr1 16870222 16870465 7.97577
chr1 16885447 16889327 5.9045
chr1 16889937 16890111 5.99769
chr1 16890357 16890604 7.44422
chr1 16890664 16890792 6.98839
chr1 16891229 16891476 11.0657
chr1 16891914 16892084 6.13882
chr1 16892281 16892872 5.54972
chr1 16893152 16893380 5.88496
chr1 16893570 16893814 10.5908
chr1 16902233 16902455 6.49171
chr1 16907085 16907371 4.34399
chr1 16907990 16908148 7.23411
chr1 16910205 16953296 4.12522
chr1 16973882 16974037 7.05351
chr1 16974261 16974367 8.4388
chr1 16974437 16974663 6.15693
chr1 16974884 16975309 6.78193
chr1 16975982 16976223 4.9489
chr1 16976539 16976664 8.74635
chr1 16976787 16976963 6.49426
chr1 16977403 16977550 7.09931
chr1 16977650 16977753 8.6846
chr1 16978037 16978440 9.12517
chr1 16978644 16978874 4.96952
chr1 16978954 16979065 8.05868
chr1 16979318 16979540 5.37245
chr1 16980113 16980331 5.47103
chr1 16981122 16981362 5.59071
chr1 16999977 17064518 2.7211
chr1 17081388 17081640 8.47973
chr1 17082019 17082452 4.82032
chr1 17084258 17084472 5.34107
chr1 17084313 17084485 6.06743
chr1 17088313 17088524 6.3591
chr1 17088809 17089026 5.26723
chr1 17091139 17091315 7.34133
chr1 17091585 17091727 7.69925
chr1 17093205 17093521 5.34695
chr1 17096732 17096904 6.35636
chr1 17096979 17097119 7.45428
chr1 17097489 17097935 4.90266
chr1 17098871 17099523 5.64025
chr1 17100577 17100777 5.46647
chr1 17104278 17104384 7.96998
chr1 17106088 17106400 7.16757
chr1 17106491 17106591 8.44818
chr1 17106940 17107064 8.01535
chr1 17112868 17113074 6.03097
chr1 17120936 17121745 3.43996
chr1 17123234 17123505 4.58443
chr1 17192951 17222070 2.07184
chr1 17193134 17193363 6.07627
chr1 17197851 17197980 6.93421
chr1 17198747 17198907 6.83309
chr1 17199157 17199415 7.8973
chr1 17199628 17199914 8.68797
chr1 17200133 17200566 9.4111
chr1 17201360 17201482 7.73941
chr1 17201781 17201936 7.05351
chr1 17202065 17202175 7.68016
chr1 17202744 17202963 4.99221
chr1 17202830 17202983 6.4961
chr1 17225651 17225866 5.77851
chr1 17228885 17229017 7.15309
chr1 17306127 17306265 7.56231
chr1 17307039 17308446 3.77924
chr1 17344771 19448798 1.57929
chr1 17656380 17656606 6.59671
chr1 17656649 17656751 8.28253
chr1 17840015 17840235 5.19541
chr1 17843023 17843224 5.43927
chr1 17843393 17843650 5.41426
chr1 17848176 17848516 4.82336
chr1 18069016 18069156 7.09931
chr1 18070162 18070382 6.55073
chr1 18711599 18711709 7.68016
chr1 18712880 18713005 7.55367
chr1 18960696 18961131 41.127
chr1 18961413 18963075 16.4754
chr1 19018153 19018547 35.3164
chr1 19027055 19027404 25.346
chr1 19029399 19030113 18.2355
chr1 19061921 19062722 39.8926
chr1 19312185 19312362 6.1768
chr1 19330353 19330453 8.44818
chr1 19371511 19371698 5.84649
chr1 19616186 19616714 3.38831
chr1 19852138 19853379 2.56285
chr1 19884251 19884892 3.41121
chr1 19884693 19884793 8.44818
chr1 19889992 19891210 2.57044
chr1 19905385 19906195 3.19031
chr1 19966524 19968139 2.58476
chr1 19968461 19974420 3.21905
chr1 19989414 19989950 3.24502
chr1 19990472 19991006 5.30454
chr1 19992090 19993908 3.17087
chr1 19995487 19996555 2.55921
chr1 20001178 20003323 2.57164
chr1 20095530 21106304 1.56459
chr1 20592043 20592179 7.30812
chr1 20664411 20664531 7.45428
chr1 21006118 21006398 7.27679
chr1 21006624 21006899 5.05987
chr1 21008038 21008241 6.6097
chr1 21010436 21010547 8.05868
chr1 21043321 21043557 7.15948
chr1 21045456 21045597 6.69651
chr1 21057170 21058161 5.91729
chr1 21667817 21683319 1.96832
chr1 21705795 21706115 5.28011
chr1 21706011 21706118 7.8955
chr1 21707483 21707698 5.08509
chr1 21708160 21708363 5.38568
chr1 21709779 21711026 2.51066
chr1 21717251 21718281 2.50888
chr1 21724595 21726172 2.39495
chr1 21739058 21749844 1.61258
chr1 21754089 21754192 8.20212
chr1 21763858 21775505 1.3739
chr1 21817293 21817793 3.47866
chr1 21823334 21823859 3.40767
chr1 21824339 21825081 3.08083
chr1 21825895 21826911 3.22823
chr1 21829424 21850054 2.30771
chr1 21854327 21870838 1.79085
chr1 21879716 21880552 3.20998
chr1 21890960 21925428 1.49945
chr1 21934790 22005413 1.77465
chr1 21947551 21947760 5.46885
chr1 21979816 21979931 7.34624
chr1 21986241 21986427 6.41228
chr1 22140178 22140379 5.43927
chr1 22207903 22234069 1.34275
chr1 22244172 22253388 1.55298
chr1 22257835 22273490 1.79988
chr1 22278553 22279566 2.55099
chr1 22414036 23380964 1.50459
chr1 22570965 22571111 6.46718
chr1 22574118 22574274 7.32685
chr1 22674749 22675108 7.05976
chr1 22699313 22699547 7.43304
chr1 22733364 22733478 7.41069
chr1 23038372 23038602 6.69805
chr1 23039809 23040178 7.00312
chr1 23167668 23167816 7.7229
chr1 23168096 23168244 7.05134
chr1 23292693 23292845 7.51967
chr1 23298986 23299099 7.91605
chr1 23528999 23561331 1.79525
chr1 23699323 23826734 1.95526
chr1 23707073 23707180 7.8955
chr1 23714023 23714136 7.91605
chr1 23716241 23716396 6.41228
chr1 23719080 23719239 6.25097
chr1 23789421 23789586 7.22839
chr1 23809397 23810433 6.23588
chr1 23813103 23813206 8.20212
chr1 23895372 23896564 2.58482
chr1 23964951 23965161 5.20616
chr1 23964987 23965524 3.42406
chr1 23969972 23970825 3.20426
chr1 23972565 23974577 2.46994
chr1 23976710 23978641 2.44487
chr1 23990901 24013148 1.38272
chr1 23997421 23997677 4.85304
chr1 23998107 23998393 5.03902
chr1 23999699 24001196 2.55613
chr1 24008984 24009888 3.18841
chr1 24325323 24346895 1.40986
chr1 24331869 24332159 4.45543
chr1 24333305 24333508 5.38568
chr1 24373849 24488168 1.98356
chr1 24491077 24522683 1.39152
chr1 24524100 24698635 2.20238
chr1 24533194 24533311 7.64541
chr1 24573164 24573276 7.98673
chr1 24590328 24590431 8.6846
chr1 24605190 24605291 8.36454
chr1 24625684 24625784 8.44818
chr1 24627509 24627634 7.95123
chr1 24639061 24639166 8.51917
chr1 24703829 24708836 1.59795
chr1 24734142 24735258 2.40461
chr1 24812944 24969459 2.05842
chr1 24836448 24836570 6.92474
chr1 24846473 24846579 8.4388
chr1 24849143 24849275 7.15309
chr1 24871470 24871574 8.60109
chr1 24935542 24935703 6.79065
chr1 24945590 24945704 7.84661
chr1 25014758 25015286 3.38831
chr1 25034200 25034450 32.7988
chr1 25177842 25220707 1.81321
chr1 25312806 25319879 1.58086
chr1 25377199 25377966 3.30437
chr1 25378372 25379247 3.29408
chr1 25379363 25380920 3.83007
chr1 25382660 25382785 7.55367
chr1 25383395 25384713 3.20493
chr1 25395409 25404399 1.58096
chr1 25405781 25434918 1.8386
chr1 25440917 25441097 7.73036
chr1 25441331 25441538 5.28161
chr1 25450715 25542939 1.8973
chr1 25846207 25874759 1.52817
chr1 25862563 25862856 4.91864
chr1 25863612 25863819 5.28161
chr1 25864689 25864974 4.70796
chr1 25896673 26141239 2.42882
chr1 25920115 25920226 7.61097
chr1 25968614 25968721 8.82438
chr1 26062034 26062138 8.12325
chr1 26102129 26102235 8.4388
chr1 26114772 26114885 7.47627
chr1 26127627 26127737 8.13194
chr1 26202135 26204193 2.55962
chr1 26233059 26234777 3.87611
chr1 26243662 26265433 2.21415
chr1 26322491 26435166 1.86872
chr1 26361064 26361228 6.96945
chr1 26361470 26361573 8.20212
chr1 26391129 26391290 6.17332
chr1 26399121 26399221 8.44818
chr1 26400996 26401101 8.04589
chr1 26455871 26456104 6.39852
chr1 26457571 26457671 8.44818
chr1 26466923 26500196 1.94909
chr1 26519313 26535159 1.7186
chr1 26526380 26526543 6.09757
chr1 26526407 26526660 5.30344
chr1 26531261 26531363 8.28253
chr1 26536071 26537202 2.41665
chr1 26550057 26553440 2.982
chr1 26653733 26702220 1.78746
chr1 26714076 26714581 3.44422
chr1 26714379 26715380 2.58157
chr1 26717442 26718443 2.58157
chr1 26725586 26754781 1.83836
chr1 26850752 26851581 3.41692
chr1 27275876 27349627 1.81932
chr1 27285219 27285506 5.36777
chr1 27285615 27285919 6.2119
chr1 27286085 27286434 6.55008
chr1 27286451 27286554 8.20212
chr1 27288322 27288782 5.29362
chr1 27293138 27293346 5.49514
chr1 27329385 27329488 8.20212
chr1 27329498 27329602 8.12325
chr1 27518719 27519724 2.57129
chr1 27684971 27686242 3.63623
chr1 27692827 27694741 2.54448
chr1 27707882 27708737 3.25489
chr1 27717567 27718606 2.48715
chr1 27896027 27896529 3.4648
chr1 27902584 27903601 2.58982
chr1 27931388 27932445 2.53883
chr1 28027022 28027687 3.2881
chr1 28038181 28048927 1.62783
chr1 28043188 28043289 8.36454
chr1 28044620 28044783 6.70733
chr1 28261832 28261938 8.4388
chr1 28277949 28284176 1.54025
chr1 28622563 28623792 2.507
chr1 28995345 28995519 13.9946
chr1 29109855 29150988 1.49087
chr1 29137636 29137973 7.37317
chr1 29138216 29138319 8.20212
chr1 29160274 29170263 1.56215
chr1 29192252 29193528 2.68728
chr1 29194624 29194836 5.15705
chr1 29448242 29451298 3.95155
chr1 29452273 29452798 5.30082
chr1 29454554 29455110 3.48581
chr1 29460312 29462621 2.34594
chr1 29460449 29460662 5.13284
chr1 29553053 29608123 2.0665
chr1 29620248 29628191 1.55161
chr1 29647334 29727844 1.75362
chr1 29729462 29878700 1.74621
chr1 29766237 29766408 7.26538
chr1 29767300 29767517 5.26723
chr1 30032353 30452286 1.63145
chr1 30044357 30044578 5.39676
chr1 30064543 30064653 7.68016
chr1 30078054 31460224 1.62956
chr1 30398211 30398316 8.51917
chr1 30402309 30402533 4.88078
chr1 30403142 30403242 8.44818
chr1 30405156 30405361 5.33314
chr1 30405256 30405377 7.39267
chr1 30684711 30684814 8.20212
chr1 30714900 30715141 5.56751
chr1 31425415 31425649 7.0083
chr1 31647280 31668205 1.41783
chr1 31707251 31710195 2.83587
chr1 31710718 31712407 3.88382
chr1 31712960 31713978 5.22336
chr1 31874144 31901849 1.85471
chr1 31909689 31910692 2.57642
chr1 31976461 32011537 1.47487
chr1 32024624 32064938 1.52239
chr1 32080786 32085210 2.89814
chr1 32115103 32283762 1.96266
chr1 32297463 32297965 3.4648
chr1 32301941 32302557 3.22696
chr1 32303099 32304009 3.222
chr1 32322307 32323540 2.57947
chr1 32322419 32322630 5.65253
chr1 32878894 32900985 1.48247
chr1 32890483 32890732 5.18905
chr1 32891558 32893128 4.27315
chr1 32919116 32966893 1.77137
chr1 33003232 33007796 3.0379
chr1 33166454 33170697 3.57224
chr1 33182351 33188617 1.5386
chr1 33206359 33207175 5.29838
chr1 33207741 33210090 3.55419
chr1 33216716 33218374 2.60765
chr1 33219452 33221373 4.26846
chr1 33327837 33400821 1.92492
chr1 33435960 33439493 3.68529
chr1 33506663 33513897 1.50446
chr1 33546531 33550316 3.28238
chr1 33550565 33551997 3.43563
chr1 33566260 33574810 1.54026
chr1 33590389 35484077 1.59846
chr1 33651307 33651443 7.30812
chr1 33663197 33663304 7.8955
chr1 34063155 34063266 8.50638
chr1 34079021 34079237 6.44197
chr1 34079255 34079356 8.36454
chr1 34081738 34081841 8.20212
chr1 34653264 34653504 20.2922
chr1 34669875 34669994 7.51692
chr1 36037166 36039801 3.16842
chr1 36041148 36043342 2.69541
chr1 36102460 36182475 1.68808
chr1 36112095 36112334 5.6141
chr1 36120958 36121063 8.04589
chr1 36154231 36154435 5.35928
chr1 36158135 36158347 5.15705
chr1 36158228 36158354 7.09931
chr1 36161178 36161283 8.04589
chr1 36161731 36161906 7.09931
chr1 36164125 36164717 5.03667
chr1 36172804 36173038 7.0083
chr1 36173078 36173186 7.82239
chr1 36545345 36554173 1.58745
chr1 36577592 36599984 1.55131
chr1 36591261 36591467 6.75468
chr1 36591475 36591579 8.12325
chr1 36665552 36666316 3.3824
chr1 36796463 36798613 2.58877
chr1 36800318 36801019 3.11924
chr1 36886923 37968983 1.78952
chr1 37041236 37041338 8.28253
chr1 37047700 37047802 8.28253
chr1 37059570 37059680 7.68016
chr1 37146608 37146716 7.82239
chr1 37159411 37159516 8.04589
chr1 37159536 37159640 8.12325
chr1 37193555 37193677 7.33208
chr1 37195855 37195963 7.82239
chr1 37213943 37214112 6.76325
chr1 37254680 37254808 7.37663
chr1 37280477 37280628 6.58214
chr1 37287554 37287679 7.55367
chr1 37656876 37657097 6.97082
chr1 37658048 37658258 6.62603
chr1 37764145 37764276 7.2077
chr1 37765355 37765475 7.8684
chr1 37766482 37766583 8.36454
chr1 38058251 38119114 2.4381
chr1 38134069 38134280 5.18149
chr1 38134409 38134675 4.85742
chr1 38185529 38204352 1.85337
chr1 38205824 38238680 2.20676
chr1 38246128 38246393 4.68822
chr1 38253925 38254152 5.03519
chr1 38258113 38258430 4.70301
chr1 38258726 38258870 7.24721
chr1 38260307 38260841 3.35024
chr1 38506558 38507090 3.36283
chr1 38508069 38511940 4.17229
chr1 38512669 38514570 2.45731
chr1 38532473 38542514 1.60355
chr1 38551949 38563097 1.636
chr1 38586138 38636197 1.8306
chr1 38642148 38851573 1.9413
chr1 38769719 38769881 7.05549
chr1 38779043 38779157 8.71845
chr1 38856036 38868159 1.38145
chr1 38883034 38890772 1.51565
chr1 38894575 38924890 1.5393
chr1 38964995 38981709 1.79288
chr1 39011155 39020425 1.53321
chr1 39030265 39306998 1.94196
chr1 39545774 39546689 5.5941
chr1 39547511 39549942 4.19067
chr1 39959037 39959248 6.59462
chr1 40078372 40205546 1.93038
chr1 40120037 40120190 6.82091
chr1 40120277 40120453 6.2119
chr1 40349707 40376481 1.82269
chr1 40426904 40427119 7.39649
chr1 40426964 40427517 3.23513
chr1 40579748 40591391 1.72864
chr1 40584673 40584806 7.47296
chr1 40586068 40586372 4.90413
chr1 40600381 40624854 1.52093
chr1 40781591 40782296 5.21623
chr1 40782832 40783882 3.36034
chr1 41044705 41069019 1.32444
chr1 41087136 41088815 2.51584
chr1 41109182 41135075 1.47398
chr1 41247689 41252217 3.00717
chr1 41281567 41284416 2.5118
chr1 41314791 41332197 2.08419
chr1 41323552 41323758 5.30725
chr1 41324303 41324461 7.54864
chr1 41325082 41325707 4.69123
chr1 41326057 41327135 6.26952
chr1 41328548 41328748 5.46647
chr1 41335419 41336458 2.48715
chr1 41338490 41340192 2.56943
chr1 41351450 41354049 2.31363
chr1 41383641 41405361 1.59244
chr1 41414119 41415301 2.39647
chr1 41414429 41414539 7.68016
chr1 41417527 41419056 2.50264
chr1 41420249 41420444 6.62603
chr1 41420838 41421569 3.33114
chr1 41720392 41810577 1.81566
chr1 41812736 41948184 2.14303
chr1 41960330 41963331 2.40113
chr1 42293843 42305566 1.37771
chr1 42374322 42405107 1.35921
chr1 42498939 42499483 3.1973
chr1 42498978 42500054 2.58637
chr1 42503634 42504986 2.38919
chr1 42510001 42512016 2.46626
chr1 42512394 42513401 2.56619
chr1 42513670 42515151 2.38242
chr1 42515795 42518047 2.51565
chr1 42527774 42557388 1.58245
chr1 42573702 42628991 1.77878
chr1 42585360 42585481 7.80338
chr1 42594292 42594395 8.6846
chr1 42595535 42595686 6.58214
chr1 42805607 42824763 1.39311
chr1 42815871 42815988 7.64541
chr1 42816198 42816468 5.15357
chr1 42825870 42855459 1.51828
chr1 42855618 42866418 1.41263
chr1 42880523 42893389 1.73813
chr1 43052562 43078838 1.38441
chr1 43084313 43085097 3.04256
