#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue
596	chr1	1537538	1538689	.	584	.	5.79396	14.4	-1
596	chr1	1548569	1553720	.	721	.	7.73988	13.4	-1
596	chr1	1566101	1566241	.	662	.	6.90357	2.9	-1
597	chr1	1589350	1591486	.	456	.	3.98183	15.7	-1
597	chr1	1608249	1611377	.	538	.	5.14457	14.2	-1
597	chr1	1623735	1623965	.	590	.	5.88304	5.2	-1
597	chr1	1652736	1652842	.	722	.	7.75023	2.2	-1
597	chr1	1654665	1654884	.	673	.	7.06118	8.9	-1
597	chr1	1655120	1655333	.	1000	.	14.2933	15.5	-1
597	chr1	1655569	1655884	.	835	.	9.35817	15.4	-1
597	chr1	1656216	1656374	.	628	.	6.42294	2.9	-1
597	chr1	1670454	1670555	.	749	.	8.13391	2.5	-1
598	chr1	1705646	1715349	.	830	.	9.28848	13.9	-1
598	chr1	1729746	1729900	.	640	.	6.58977	3.1	-1
598	chr1	1730902	1731028	.	662	.	6.90357	2	-1
598	chr1	1730905	1731134	.	562	.	5.48668	3.7	-1
598	chr1	1731285	1732111	.	563	.	5.49945	14.8	-1
598	chr1	1757722	1762174	.	529	.	5.01486	14.3	-1
598	chr1	1765011	1766155	.	610	.	6.16735	14.7	-1
598	chr1	1766813	1767048	.	668	.	6.9917	9.7	-1
598	chr1	1767101	1767268	.	624	.	6.36617	3.3	-1
598	chr1	1771945	1772119	.	586	.	5.83233	2.2	-1
598	chr1	1771951	1772427	.	526	.	4.97463	11.1	-1
598	chr1	1772759	1773596	.	790	.	8.71813	14.8	-1
598	chr1	1773787	1774576	.	663	.	6.92107	14.8	-1
598	chr1	1774954	1775086	.	691	.	7.32197	3.3	-1
598	chr1	1779192	1779392	.	567	.	5.55737	2.7	-1
598	chr1	1779809	1780688	.	586	.	5.82759	14.5	-1
598	chr1	1787148	1801275	.	317	.	2.01824	13.6	-1
598	chr1	1793639	1793789	.	629	.	6.44333	2.4	-1
598	chr1	1794295	1795357	.	505	.	4.68689	14.6	-1
598	chr1	1795722	1796475	.	532	.	5.06995	100	-1
598	chr1	1797045	1797166	.	682	.	7.18884	2.2	-1
598	chr1	1807484	1808419	.	382	.	2.94601	4.7	-1
598	chr1	1815148	1815257	.	707	.	7.53692	2	-1
598	chr1	1815991	1816097	.	754	.	8.20613	3	-1
598	chr1	1817127	1824698	.	732	.	7.88927	13.1	-1
599	chr1	1839534	1840972	.	772	.	8.46863	14.7	-1
599	chr1	1841089	1841476	.	906	.	10.3643	14.8	-1
599	chr1	1849299	1852214	.	452	.	3.929	13.5	-1
599	chr1	1920157	1920409	.	1000	.	19.9436	15.4	-1
600	chr1	1980869	1981698	.	767	.	8.39421	14.5	-1
600	chr1	1982015	1982702	.	597	.	5.97907	14.5	-1
600	chr1	2043424	2044062	.	533	.	5.07488	16	-1
600	chr1	2053309	2053572	.	525	.	4.96112	3.2	-1
600	chr1	2057995	2058618	.	399	.	3.1803	2.5	-1
600	chr1	2063992	2064937	.	720	.	7.72177	15.7	-1
600	chr1	2065186	2065287	.	749	.	8.13391	2.5	-1
601	chr1	2120735	2121815	.	573	.	5.63792	15.2	-1
601	chr1	2125111	2125882	.	630	.	6.45587	14.5	-1
601	chr1	2126118	2127081	.	695	.	7.37671	14.7	-1
601	chr1	2129974	2131693	.	488	.	4.44174	14.2	-1
601	chr1	2135828	2136392	.	580	.	5.74073	15.3	-1
601	chr1	2136779	2137222	.	644	.	6.65423	15.7	-1
601	chr1	2144089	2144249	.	644	.	6.64469	3.6	-1
601	chr1	2157526	2167261	.	649	.	6.71635	13.4	-1
601	chr1	2186080	2187986	.	473	.	4.23414	16	-1
601	chr1	2220805	2223694	.	502	.	4.63344	14.4	-1
602	chr1	2230403	2234200	.	573	.	5.65085	14.1	-1
602	chr1	2245525	2246189	.	385	.	2.98392	1.8	-1
602	chr1	2246577	2247269	.	406	.	3.28219	4.2	-1
602	chr1	2317948	2327230	.	769	.	8.42381	13.1	-1
602	chr1	2342255	2349157	.	726	.	7.81378	13.2	-1
603	chr1	2370797	2371053	.	534	.	5.09678	3.5	-1
603	chr1	2453767	2459425	.	784	.	8.62641	13.4	-1
603	chr1	2460051	2461703	.	412	.	3.36403	14.1	-1
603	chr1	2476519	2483159	.	716	.	7.66359	13.4	-1
75	chr1	2485367	2491205	.	818	.	9.1137	14.3	-1
604	chr1	2506380	2513979	.	535	.	5.10023	13.7	-1
604	chr1	2506768	2511662	.	646	.	6.67505	13.4	-1
604	chr1	2512165	2512282	.	729	.	7.84765	3.3	-1
604	chr1	2512465	2512607	.	655	.	6.80634	2.8	-1
604	chr1	2513033	2513138	.	727	.	7.82405	2.2	-1
604	chr1	2514450	2519970	.	646	.	6.6797	13.2	-1
604	chr1	2573071	2575140	.	861	.	9.71638	14.4	-1
606	chr1	2813080	2813729	.	406	.	3.27627	3.6	-1
608	chr1	3097673	3097857	.	620	.	6.30326	4.1	-1
608	chr1	3098079	3098298	.	611	.	6.17854	5.6	-1
611	chr1	3448311	3448504	.	563	.	5.50855	2.2	-1
612	chr1	3539440	3543540	.	676	.	7.10731	13.7	-1
612	chr1	3555567	3604113	.	533	.	5.07977	12.5	-1
612	chr1	3661880	3665634	.	583	.	5.79282	13.6	-1
613	chr1	3688184	3689111	.	749	.	8.13236	15	-1
613	chr1	3689277	3689952	.	594	.	5.94218	15.1	-1
613	chr1	3704509	3704762	.	512	.	4.7752	2.2	-1
613	chr1	3708477	3714821	.	803	.	8.90478	13.2	-1
613	chr1	3709451	3709638	.	649	.	6.71898	5.5	-1
613	chr1	3709882	3710570	.	571	.	5.61918	15.1	-1
613	chr1	3711194	3711363	.	659	.	6.86272	4.8	-1
613	chr1	3711565	3714088	.	1000	.	17.7556	14.5	-1
613	chr1	3717860	3718063	.	595	.	5.95135	4	-1
613	chr1	3719923	3722415	.	413	.	3.37422	13.8	-1
613	chr1	3770888	3770991	.	738	.	7.97597	2.3	-1
613	chr1	3771360	3776029	.	834	.	9.34621	13.5	-1
614	chr1	3807333	3807660	.	508	.	4.72905	4.5	-1
614	chr1	3807772	3808001	.	636	.	6.54181	7.6	-1
614	chr1	3809533	3809660	.	685	.	7.22972	2.7	-1
614	chr1	3814026	3814136	.	702	.	7.46841	1.9	-1
614	chr1	3814803	3818553	.	993	.	11.598	13.5	-1
614	chr1	3838641	3838858	.	646	.	6.68087	7.3	-1
614	chr1	3839062	3839281	.	657	.	6.84052	8.1	-1
616	chr1	4086909	4088248	.	450	.	3.89776	14.3	-1
617	chr1	4204539	4204734	.	629	.	6.44333	5.2	-1
618	chr1	4334150	4334315	.	960	.	11.1294	16	-1
618	chr1	4362949	4363534	.	1000	.	11.7302	15.4	-1
622	chr1	4855579	4857666	.	591	.	5.90459	15	-1
623	chr1	4999402	4999759	.	767	.	8.39258	100	-1
627	chr1	5578590	5578833	.	989	.	11.5344	15.3	-1
628	chr1	5726500	5726682	.	587	.	5.84148	2.6	-1
628	chr1	5726502	5726722	.	531	.	5.05216	1.9	-1
628	chr1	5727524	5727651	.	658	.	6.84921	1.9	-1
628	chr1	5728252	5729027	.	610	.	6.17313	14.8	-1
628	chr1	5729662	5733376	.	541	.	5.19162	14.2	-1
628	chr1	5733872	5733993	.	767	.	8.38698	4.8	-1
628	chr1	5734153	5734377	.	647	.	6.68783	7.8	-1
628	chr1	5734998	5735353	.	722	.	7.75922	15.2	-1
628	chr1	5735405	5735572	.	685	.	7.23428	5.7	-1
628	chr1	5735718	5735987	.	682	.	7.18587	13	-1
630	chr1	6014573	6015924	.	440	.	3.75583	14.3	-1
631	chr1	6050061	6056360	.	935	.	10.7713	13.5	-1
631	chr1	6083922	6092107	.	983	.	11.448	13.1	-1
631	chr1	6093210	6093566	.	520	.	4.8868	6.2	-1
632	chr1	6253498	6253733	.	770	.	8.43117	15.4	-1
632	chr1	6255537	6261557	.	1000	.	13.7509	13.5	-1
632	chr1	6264122	6270677	.	637	.	6.54654	13.5	-1
632	chr1	6272277	6272787	.	409	.	3.31642	1.7	-1
633	chr1	6293347	6297325	.	874	.	9.90067	14.4	-1
633	chr1	6304700	6307319	.	379	.	2.89692	13.9	-1
633	chr1	6319578	6321040	.	553	.	5.35475	14.3	-1
633	chr1	6321153	6321410	.	559	.	5.45301	4.8	-1
633	chr1	6350138	6350870	.	524	.	4.95133	14.6	-1
633	chr1	6417703	6421403	.	556	.	5.40717	13.5	-1
634	chr1	6449792	6450408	.	390	.	3.05954	1.7	-1
634	chr1	6450870	6455560	.	784	.	8.63461	13.6	-1
634	chr1	6474756	6474987	.	647	.	6.69437	8.3	-1
634	chr1	6483650	6485793	.	350	.	2.48052	9.4	-1
634	chr1	6500594	6500708	.	713	.	7.63026	2.6	-1
634	chr1	6507461	6507582	.	738	.	7.9876	3.9	-1
634	chr1	6519816	6521546	.	348	.	2.45815	6.2	-1
634	chr1	6549223	6552576	.	623	.	6.3559	13.7	-1
635	chr1	6557298	6557536	.	691	.	7.30966	11.3	-1
635	chr1	6557751	6557888	.	698	.	7.40748	3.9	-1
635	chr1	6611851	6616224	.	805	.	8.92902	13.9	-1
635	chr1	6638545	6643451	.	793	.	8.75681	15.2	-1
635	chr1	6658411	6665094	.	1000	.	12.0469	13.3	-1
635	chr1	6672421	6673432	.	1000	.	13.7184	14.3	-1
635	chr1	6673693	6674568	.	603	.	6.07514	14.7	-1
635	chr1	6675023	6676192	.	741	.	8.01972	14.3	-1
79	chr1	6683759	6688227	.	675	.	7.09516	14.8	-1
636	chr1	6748925	6749463	.	428	.	3.59294	3.8	-1
636	chr1	6758983	6762924	.	956	.	11.0727	14.2	-1
636	chr1	6803440	6803641	.	565	.	5.52973	2.6	-1
637	chr1	6827095	6895419	.	357	.	2.58303	12.5	-1
637	chr1	6830679	6832261	.	472	.	4.21545	14.2	-1
637	chr1	6837076	6837208	.	691	.	7.32197	3.3	-1
637	chr1	6837460	6838177	.	608	.	6.1333	15	-1
637	chr1	6838603	6838764	.	620	.	6.30326	2.7	-1
637	chr1	6839121	6839803	.	695	.	7.36921	14.8	-1
637	chr1	6839999	6840313	.	718	.	7.69506	15.4	-1
637	chr1	6842435	6852094	.	720	.	7.71979	14	-1
637	chr1	6865120	6865220	.	755	.	8.21525	2.5	-1
637	chr1	6879504	6879605	.	749	.	8.13391	2.5	-1
637	chr1	6880546	6881611	.	697	.	7.39622	14.8	-1
637	chr1	6882656	6882800	.	696	.	7.38298	4.4	-1
637	chr1	6882862	6883539	.	694	.	7.35225	15.4	-1
637	chr1	6911690	6933563	.	285	.	1.56422	12.7	-1
637	chr1	6921151	6922111	.	679	.	7.14807	14.5	-1
637	chr1	6922302	6922619	.	756	.	8.23202	100	-1
637	chr1	6928319	6929579	.	399	.	3.18331	11.3	-1
637	chr1	6944017	6944530	.	407	.	3.29703	1.6	-1
638	chr1	6947965	6949953	.	446	.	3.84072	14.6	-1
638	chr1	7056392	7056593	.	565	.	5.52973	2.6	-1
639	chr1	7130443	7130674	.	647	.	6.69437	8.3	-1
641	chr1	7395087	7395337	.	1000	.	92.784	15.1	-1
641	chr1	7461982	7469393	.	408	.	3.306	13.3	-1
644	chr1	7812698	7812841	.	652	.	6.75874	2.8	-1
644	chr1	7813007	7813174	.	665	.	6.94491	4.9	-1
644	chr1	7814254	7814670	.	740	.	8.01544	15.2	-1
644	chr1	7829706	7834167	.	854	.	9.63033	14.2	-1
644	chr1	7842976	7843733	.	544	.	5.23467	14.5	-1
645	chr1	7888894	7890799	.	345	.	2.40991	6.7	-1
645	chr1	7945848	7946090	.	1000	.	15.3761	100	-1
645	chr1	7962545	7963061	.	406	.	3.27786	1.6	-1
645	chr1	7990862	7991189	.	623	.	6.35466	12.6	-1
646	chr1	8000229	8000790	.	539	.	5.16845	15.1	-1
646	chr1	8000929	8001735	.	695	.	7.37466	14.6	-1
646	chr1	8002433	8002779	.	510	.	4.7487	5.2	-1
646	chr1	8002912	8003065	.	687	.	7.26454	4.8	-1
646	chr1	8013393	8015440	.	1000	.	13.0315	14.1	-1
646	chr1	8019587	8028542	.	760	.	8.28891	14.5	-1
646	chr1	8048647	8049820	.	340	.	2.34827	1.4	-1
646	chr1	8048769	8049028	.	543	.	5.22432	4.1	-1
646	chr1	8053385	8053906	.	535	.	5.10149	13.7	-1
646	chr1	8054021	8054331	.	681	.	7.1708	15.1	-1
646	chr1	8054847	8055003	.	634	.	6.50529	3	-1
646	chr1	8078320	8078551	.	573	.	5.64838	4.4	-1
646	chr1	8084115	8087789	.	482	.	4.35372	14	-1
647	chr1	8155683	8159289	.	505	.	4.67704	14.5	-1
647	chr1	8164285	8165274	.	399	.	3.17606	7.5	-1
647	chr1	8180913	8181658	.	559	.	5.44872	14.7	-1
647	chr1	8218807	8219375	.	397	.	3.14793	1.6	-1
647	chr1	8226275	8228269	.	346	.	2.42352	7.5	-1
647	chr1	8229581	8229815	.	656	.	6.81506	9	-1
647	chr1	8241953	8242312	.	498	.	4.57674	4.8	-1
647	chr1	8242596	8243194	.	568	.	5.57596	14.6	-1
648	chr1	8284945	8285203	.	518	.	4.86996	2.7	-1
648	chr1	8340918	8344926	.	613	.	6.20942	13.6	-1
648	chr1	8377676	8378810	.	614	.	6.22174	14.4	-1
649	chr1	8410597	8410926	.	1000	.	11.7508	100	-1
649	chr1	8454176	8459954	.	610	.	6.17235	13.3	-1
649	chr1	8468911	8469782	.	378	.	2.88507	3.4	-1
649	chr1	8474302	8494656	.	533	.	5.08084	13.3	-1
649	chr1	8478302	8485928	.	845	.	9.49263	14.3	-1
649	chr1	8486460	8489568	.	569	.	5.58194	13.6	-1
649	chr1	8490718	8490890	.	690	.	7.30494	6.3	-1
649	chr1	8490956	8491057	.	749	.	8.13391	2.5	-1
649	chr1	8498940	8499796	.	402	.	3.2179	6.1	-1
649	chr1	8517018	8519107	.	367	.	2.7297	13.5	-1
650	chr1	8531635	8535466	.	476	.	4.27621	14.7	-1
650	chr1	8535706	8538896	.	409	.	3.31761	13.7	-1
650	chr1	8552353	8558180	.	389	.	3.04364	13.6	-1
650	chr1	8569674	8571063	.	894	.	10.1938	14.8	-1
650	chr1	8576364	8577656	.	423	.	3.5159	14.6	-1
650	chr1	8580302	8581517	.	422	.	3.50008	14.8	-1
650	chr1	8582551	8587322	.	830	.	9.2882	13.5	-1
650	chr1	8592948	8594240	.	911	.	10.4355	14.6	-1
650	chr1	8594489	8594668	.	651	.	6.7493	5.1	-1
650	chr1	8601304	8601468	.	674	.	7.07195	5	-1
650	chr1	8603882	8604013	.	669	.	7.00897	2.5	-1
650	chr1	8605009	8605122	.	718	.	7.69779	2.6	-1
650	chr1	8614906	8616333	.	394	.	3.11556	12.6	-1
650	chr1	8620509	8621093	.	525	.	4.9649	14.4	-1
650	chr1	8621967	8622815	.	392	.	3.0773	4.8	-1
651	chr1	8655778	8656606	.	566	.	5.54453	14.9	-1
651	chr1	8662304	8665885	.	462	.	4.07544	13.9	-1
651	chr1	8687859	8688025	.	606	.	6.1134	2.5	-1
651	chr1	8688506	8690474	.	852	.	9.60115	14.3	-1
651	chr1	8702177	8705954	.	450	.	3.90234	14.3	-1
651	chr1	8707534	8708401	.	399	.	3.17707	5.9	-1
651	chr1	8708894	8709589	.	390	.	3.05942	2.7	-1
651	chr1	8711391	8711662	.	779	.	8.55941	100	-1
651	chr1	8711898	8713469	.	676	.	7.10571	14.5	-1
651	chr1	8713946	8714217	.	502	.	4.63635	2.3	-1
651	chr1	8719498	8727930	.	587	.	5.84577	13.6	-1
651	chr1	8729438	8730024	.	535	.	5.11288	14.8	-1
651	chr1	8730112	8730527	.	512	.	4.77428	7.7	-1
651	chr1	8739375	8743027	.	472	.	4.20793	13.6	-1
651	chr1	8746677	8751168	.	402	.	3.22812	13.5	-1
651	chr1	8759218	8759390	.	631	.	6.46206	3.8	-1
651	chr1	8759411	8759513	.	743	.	8.05416	2.4	-1
651	chr1	8759769	8759870	.	749	.	8.13391	2.5	-1
651	chr1	8760373	8764141	.	1000	.	13.5177	14.1	-1
651	chr1	8772283	8772425	.	655	.	6.80634	2.8	-1
651	chr1	8772595	8773468	.	620	.	6.31048	14.5	-1
651	chr1	8773759	8774878	.	391	.	3.0662	8.1	-1
652	chr1	8782379	8784024	.	454	.	3.96588	14.8	-1
652	chr1	8806272	8806785	.	414	.	3.39123	2.2	-1
652	chr1	8815068	8815859	.	403	.	3.23796	5.3	-1
652	chr1	8821444	8826266	.	549	.	5.30152	13.6	-1
652	chr1	8872065	8879692	.	965	.	11.1894	13.4	-1
652	chr1	8889703	8889998	.	672	.	7.04398	14.2	-1
653	chr1	8920702	8921710	.	354	.	2.5409	1.9	-1
653	chr1	8924601	8925206	.	394	.	3.11516	1.9	-1
653	chr1	8926544	8927641	.	349	.	2.46691	1.9	-1
653	chr1	8928299	8941710	.	1000	.	12.3884	12.9	-1
653	chr1	9030893	9031406	.	574	.	5.65204	15.3	-1
654	chr1	9067528	9069611	.	432	.	3.64235	14	-1
654	chr1	9070121	9070231	.	702	.	7.46841	1.9	-1
654	chr1	9070682	9071239	.	407	.	3.29686	2.3	-1
654	chr1	9096906	9098089	.	598	.	6.00488	14.4	-1
654	chr1	9119356	9131120	.	722	.	7.75155	13.9	-1
654	chr1	9134997	9135802	.	658	.	6.84354	14.7	-1
654	chr1	9136354	9136766	.	746	.	8.09326	14.9	-1
654	chr1	9137722	9142390	.	495	.	4.53435	13.8	-1
655	chr1	9179028	9183693	.	424	.	3.53244	14.2	-1
655	chr1	9184776	9191874	.	613	.	6.20913	14.5	-1
655	chr1	9195060	9195166	.	722	.	7.75023	2.2	-1
655	chr1	9195289	9195517	.	653	.	6.78245	8.4	-1
655	chr1	9205538	9205820	.	501	.	4.62686	2.6	-1
655	chr1	9217893	9249129	.	517	.	4.84704	13.8	-1
655	chr1	9221661	9226573	.	546	.	5.26341	13.8	-1
655	chr1	9233502	9245592	.	812	.	9.02946	12.9	-1
655	chr1	9256387	9257302	.	581	.	5.75675	14.4	-1
655	chr1	9258271	9259688	.	338	.	2.31905	2.5	-1
655	chr1	9260659	9263022	.	457	.	4.00834	14.1	-1
655	chr1	9291243	9291347	.	732	.	7.89928	2.3	-1
655	chr1	9292283	9292457	.	626	.	6.38779	3.7	-1
655	chr1	9293392	9301196	.	530	.	5.03437	14.9	-1
655	chr1	9293850	9296548	.	784	.	8.6333	13.8	-1
655	chr1	9296876	9296976	.	755	.	8.21525	2.5	-1
655	chr1	9298541	9298804	.	551	.	5.32861	4.6	-1
655	chr1	9299320	9300475	.	653	.	6.77805	15.7	-1
656	chr1	9319090	9321016	.	346	.	2.43381	7.2	-1
656	chr1	9335842	9336070	.	653	.	6.78245	8.4	-1
656	chr1	9352186	9355451	.	576	.	5.68355	13.7	-1
656	chr1	9375487	9376078	.	509	.	4.74255	13.3	-1
656	chr1	9385262	9385407	.	692	.	7.33207	4.3	-1
656	chr1	9422301	9422918	.	390	.	3.05458	1.7	-1
657	chr1	9471105	9471441	.	906	.	10.3554	15.7	-1
657	chr1	9472592	9472878	.	652	.	6.75874	12.1	-1
657	chr1	9473030	9473219	.	572	.	5.62513	2.3	-1
657	chr1	9473286	9474372	.	696	.	7.38669	14.6	-1
657	chr1	9478442	9478676	.	627	.	6.40203	7.3	-1
657	chr1	9480416	9480620	.	559	.	5.4484	2.5	-1
657	chr1	9481097	9481484	.	527	.	4.99483	7.9	-1
657	chr1	9482974	9483817	.	397	.	3.15288	5.3	-1
657	chr1	9484691	9490781	.	654	.	6.78454	15	-1
657	chr1	9555385	9556035	.	631	.	6.46811	16	-1
658	chr1	9597652	9603339	.	603	.	6.06718	14.2	-1
658	chr1	9604752	9605305	.	409	.	3.3207	2.4	-1
658	chr1	9604752	9604868	.	675	.	7.08211	1.6	-1
658	chr1	9647486	9654572	.	753	.	8.19056	13.8	-1
658	chr1	9685221	9692338	.	930	.	10.6944	14.2	-1
82	chr1	9698761	9700163	.	335	.	2.27493	2	-1
659	chr1	9703571	9704427	.	386	.	2.99208	4.2	-1
659	chr1	9709886	9720060	.	932	.	10.7252	13.1	-1
659	chr1	9720347	9720901	.	408	.	3.31471	2.4	-1
659	chr1	9722270	9723454	.	353	.	2.53053	3.1	-1
659	chr1	9722363	9722596	.	541	.	5.18508	2.9	-1
659	chr1	9729427	9729567	.	686	.	7.24875	3.8	-1
659	chr1	9729667	9729905	.	662	.	6.90357	9.6	-1
659	chr1	9730277	9730799	.	541	.	5.18429	14.4	-1
659	chr1	9740835	9741033	.	588	.	5.85757	3.5	-1
659	chr1	9744878	9751341	.	759	.	8.28471	13.7	-1
659	chr1	9763652	9764563	.	504	.	4.66806	15.7	-1
659	chr1	9776338	9778298	.	491	.	4.48732	14.8	-1
660	chr1	9840769	9840968	.	569	.	5.5853	2.7	-1
660	chr1	9843077	9843458	.	506	.	4.69298	6.1	-1
660	chr1	9844251	9844969	.	650	.	6.7305	15.4	-1
660	chr1	9846378	9848661	.	579	.	5.73634	14.1	-1
660	chr1	9858521	9858752	.	544	.	5.22998	2.9	-1
660	chr1	9858628	9858788	.	601	.	6.04062	2	-1
660	chr1	9860135	9860369	.	656	.	6.81506	9	-1
660	chr1	9878929	9886789	.	837	.	9.38218	13.3	-1
660	chr1	9909658	9911405	.	450	.	3.9003	14.1	-1
660	chr1	9923803	9924037	.	656	.	6.81506	9	-1
660	chr1	9924102	9924328	.	597	.	5.98717	5.3	-1
660	chr1	9924784	9924990	.	555	.	5.39551	2.4	-1
660	chr1	9934980	9935233	.	525	.	4.9662	2.9	-1
660	chr1	9952253	9955140	.	514	.	4.80404	13.7	-1
660	chr1	9960382	9960838	.	713	.	7.63026	15	-1
660	chr1	9960912	9961034	.	706	.	7.52602	3	-1
661	chr1	9962657	9965723	.	405	.	3.26265	14.8	-1
661	chr1	9968182	9972470	.	859	.	9.69205	13.8	-1
661	chr1	9987259	9987883	.	388	.	3.02031	1.6	-1
661	chr1	10000966	10005547	.	1000	.	12.5639	14.3	-1
661	chr1	10010198	10011986	.	543	.	5.21629	14.1	-1
661	chr1	10020699	10021592	.	706	.	7.52203	15	-1
661	chr1	10078661	10079369	.	603	.	6.07475	100	-1
82	chr1	10091574	10095934	.	1000	.	13.0012	13.7	-1
662	chr1	10096056	10097144	.	350	.	2.48732	2	-1
662	chr1	10126921	10127288	.	546	.	5.26703	8.6	-1
662	chr1	10134285	10134427	.	679	.	7.14665	3.7	-1
